query,price_min,price_max,price_currency,rating_min,rating_max,category,sort_type,sort_direction
the scores here prove real worth,,,,4.8,,rating,desc,
78 ceiling,,78,USD,,,,price,asc
attracts word of mouth through ratings,,,,4.7,,rating,desc,
from 520 to 850,520.0,850,USD,,,,price,asc
quality of feedback rivals the product itself,,,,4.8,,rating,desc,
26 dollar cap,,26,USD,,,,price,asc
feels like a warm hug in review form,,,,4.6,,rating,desc,
around 175,,175,USD,,,,price,asc
the scores here raise the bar,,,,4.7,,rating,desc,
49 price point,,49,USD,,,,price,asc
makes other products jealous with its score,,,,4.9,,rating,desc,
from 380 to 620,380.0,620,USD,,,,price,asc
the feedback section is a joy to read,,,,4.8,,rating,desc,
barely 14 dollars,,14,USD,,,,price,asc
top rated and under 50,,50,USD,4.5,,combined,rating,desc
raved about and under 120,,120,USD,4.6,,combined,rating,desc
highly scored and below 80,,80,USD,4.4,,combined,rating,desc
great reviews and price cap at 200,,200,USD,4.3,,combined,rating,desc
acclaimed and under 40,,40,USD,4.5,,combined,asc,
beloved and not over 300,,300,USD,4.6,,combined,rating,desc
praised and below 65,,65,USD,4.3,,combined,asc,
celebrated and under 150,,150,USD,4.7,,combined,rating,desc
quality confirmed and below 90,,90,USD,4.4,,combined,asc,
trusted and under 250,,250,USD,4.5,,combined,rating,desc
adored and price cap 35,,35,USD,4.2,,combined,asc,
5 star reputation below 400,,400,USD,5.0,,combined,rating,desc
highly endorsed below 75,,75,USD,4.4,,combined,asc,
loved and capped at 180,,180,USD,4.6,,combined,rating,desc
excellent scores below 55,,55,USD,4.3,,combined,asc,
top tier reviews below 500,,500,USD,4.8,,combined,rating,desc
praised to the skies under 45,,45,USD,4.5,,combined,asc,
glowing and not over 160,,160,USD,4.6,,combined,rating,desc
acclaimed quality under 28,,28,USD,4.1,,combined,asc,
rave reviews and below 600,,600,USD,4.7,,combined,rating,desc
stellar and under 62,,62,USD,4.4,,combined,asc,
five star and below 350,,350,USD,5.0,,combined,rating,desc
brilliant feedback under 95,,95,USD,4.5,,combined,asc,
loved by critics and under 230,,230,USD,4.6,,combined,rating,desc
superb score and price under 48,,48,USD,4.3,,combined,asc,
flawless reputation under 700,,700,USD,4.8,,combined,rating,desc
darling of reviewers under 33,,33,USD,4.2,,combined,asc,
gold standard reviews below 280,,280,USD,4.7,,combined,rating,desc
praised without reservation under 71,,71,USD,4.4,,combined,asc,
impeccable ratings below 440,,440,USD,4.6,,combined,rating,desc
acclaimed and tight budget under 19,,19,USD,4.0,,combined,asc,
crowd favourite and below 550,,550,USD,4.7,,combined,rating,desc
exceptional reviews under 83,,83,USD,4.5,,combined,asc,
near perfect score below 170,,170,USD,4.8,,combined,rating,desc
sparkling reputation under 37,,37,USD,4.3,,combined,asc,
hall of fame reviews below 480,,480,USD,4.9,,combined,rating,desc
lauded and under 106,,106,USD,4.4,,combined,asc,
extraordinary ratings below 360,,360,USD,4.7,,combined,rating,desc
treasured and under 22,,22,USD,4.1,,combined,asc,
stunning review average below 830,,830,USD,4.8,,combined,rating,desc
cheered on by reviewers under 58,,58,USD,4.3,,combined,asc,
royalty in the review world below 270,,270,USD,4.6,,combined,rating,desc
celebrated pick under 44,,44,USD,4.4,,combined,asc,
one reviewers always choose below 520,,520,USD,4.7,,combined,rating,desc
raved about under 17,,17,USD,4.0,,combined,asc,
icon in the review world below 145,,145,USD,4.5,,combined,rating,desc
lauded by all under 69,,69,USD,4.3,,combined,asc,
pristine ratings below 390,,390,USD,4.8,,combined,rating,desc
frugal and four plus stars under 24,,24,USD,4.0,,combined,asc,
cherished under 660,,660,USD,4.7,,combined,rating,desc
championed by users under 53,,53,USD,4.4,,combined,asc,
praised from every corner below 310,,310,USD,4.6,,combined,rating,desc
a bargain with brilliant reviews under 31,,31,USD,4.2,,combined,asc,
darling of reviewers below 760,,760,USD,4.8,,combined,rating,desc
lauded under 87,,87,USD,4.5,,combined,asc,
royalty in the review world below 215,,215,USD,4.7,,combined,rating,desc
celebrated and under 13,,13,USD,4.0,,combined,asc,
masterpiece of user satisfaction below 570,,570,USD,4.9,,combined,rating,desc
praised without exception under 76,,76,USD,4.4,,combined,asc,
revered below 425,,425,USD,4.7,,combined,rating,desc
cheap and cheered under 41,,41,USD,4.1,,combined,asc,
phenomenon in user ratings below 900,,900,USD,4.8,,combined,rating,desc
applauded under 64,,64,USD,4.3,,combined,asc,
gold standard in reviews below 245,,245,USD,4.6,,combined,rating,desc
budget friendly and brilliant under 29,,29,USD,4.2,,combined,asc,
trophy level ratings below 680,,680,USD,4.8,,combined,rating,desc
lauded and light on price under 52,,52,USD,4.4,,combined,asc,
the reviewed best below 330,,330,USD,4.7,,combined,rating,desc
acclaimed under 7,,7,USD,4.0,,combined,asc,
peak user satisfaction below 490,,490,USD,4.9,,combined,rating,desc
praised daily under 91,,91,USD,4.5,,combined,asc,
throne of top ratings below 195,,195,USD,4.6,,combined,rating,desc
tiny price celebrated quality under 18,,18,USD,4.1,,combined,asc,
supremacy in ratings below 740,,740,USD,4.8,,combined,rating,desc
all things excellent under 67,,67,USD,4.4,,combined,asc,
classic pick for reviewers below 280,,280,USD,4.7,,combined,rating,desc
modest cost great acclaim under 46,,46,USD,4.3,,combined,asc,
review perfection below 610,,610,USD,4.8,,combined,rating,desc
low price high praise under 23,,23,USD,4.0,,combined,asc,
summit of user satisfaction below 365,,365,USD,4.7,,combined,rating,desc
applauded and affordable under 79,,79,USD,4.4,,combined,asc,
beacon of top scores below 530,,530,USD,4.9,,combined,rating,desc
micro price maxi reviews under 5,,5,USD,4.0,,combined,asc,
zenith of user praise below 180,,180,USD,4.6,,combined,rating,desc
celebrated under 101,,101,USD,4.5,,combined,asc,
brilliance confirmed by ratings below 455,,455,USD,4.8,,combined,rating,desc
inexpensive and immensely praised under 36,,36,USD,4.2,,combined,asc,
empire of great feedback below 820,,820,USD,4.9,,combined,rating,desc
lauded under 57,,57,USD,4.3,,combined,asc,
stardom earned through reviews below 265,,265,USD,4.7,,combined,rating,desc
tight budget big stars under 21,,21,USD,4.0,,combined,asc,
constellation of top scores below 595,,595,USD,4.8,,combined,rating,desc
acclaimed under 88,,88,USD,4.5,,combined,asc,
firmament of five stars below 345,,345,USD,4.7,,combined,rating,desc
cheap and universally loved under 15,,15,USD,4.1,,combined,asc,
hall of praise below 710,,710,USD,4.8,,combined,rating,desc
celebrated under 73,,73,USD,4.4,,combined,asc,
crown jewel of ratings below 230,,230,USD,4.6,,combined,rating,desc
price under 43 and people love it,,43,USD,4.3,,combined,asc,
palace of user ratings below 470,,470,USD,4.9,,combined,rating,desc
lauded and frugal under 27,,27,USD,4.0,,combined,asc,
temple of user approval below 155,,155,USD,4.5,,combined,rating,desc
cheap and celebrated under 62,,62,USD,4.4,,combined,asc,
cathedral of five stars below 540,,540,USD,4.8,,combined,rating,desc
highly praised under 34,,34,USD,4.2,,combined,asc,
legend among reviewers below 395,,395,USD,4.7,,combined,rating,desc
praised and light on cash under 49,,49,USD,4.3,,combined,asc,
dynasty of great reviews below 660,,660,USD,4.8,,combined,rating,desc
super cheap yet acclaimed under 9,,9,USD,4.0,,combined,asc,
utopia for satisfied buyers below 315,,315,USD,4.7,,combined,rating,desc
lauded under 82,,82,USD,4.5,,combined,asc,
monument to quality below 580,,580,USD,4.9,,combined,rating,desc
inexpensive and celebrated under 55,,55,USD,4.4,,combined,asc,
oasis of positive feedback below 250,,250,USD,4.6,,combined,rating,desc
micro spend maxi love under 11,,11,USD,4.0,,combined,asc,
panorama of positive feedback below 770,,770,USD,4.8,,combined,rating,desc
acclaimed under 66,,66,USD,4.3,,combined,asc,
victory in user ratings below 430,,430,USD,4.7,,combined,rating,desc
cost under 38 and loved by all,,38,USD,4.2,,combined,asc,
triumph in user feedback below 195,,195,USD,4.5,,combined,rating,desc
cheap and revered under 84,,84,USD,4.4,,combined,asc,
fortress of five star ratings below 625,,625,USD,4.8,,combined,rating,desc
barely costs anything and beloved under 6,,6,USD,4.0,,combined,asc,
horizon of great scores below 290,,290,USD,4.6,,combined,rating,desc
praised under 107,,107,USD,4.5,,combined,asc,
epoch of great feedback below 500,,500,USD,4.9,,combined,rating,desc
modest price incredible acclaim under 72,,72,USD,4.4,,combined,asc,
panorama of positive feedback below 375,,375,USD,4.7,,combined,rating,desc
cheap and cheered under 25,,25,USD,4.1,,combined,asc,
era of strong scores below 690,,690,USD,4.8,,combined,rating,desc
acclaimed under 59,,59,USD,4.3,,combined,asc,
heritage of excellence in scores below 235,,235,USD,4.6,,combined,rating,desc
tiny budget enormous praise under 16,,16,USD,4.0,,combined,asc,
legacy of strong scores below 555,,555,USD,4.8,,combined,rating,desc
lauded under 93,,93,USD,4.5,,combined,asc,
authority in user ratings below 415,,415,USD,4.7,,combined,rating,desc
price gentle and review fierce under 47,,47,USD,4.3,,combined,asc,
prestige in user scores below 780,,780,USD,4.9,,combined,rating,desc
praised and penny friendly under 32,,32,USD,4.2,,combined,asc,
excellence in user feedback below 170,,170,USD,4.6,,combined,rating,desc
cheap and adored under 71,,71,USD,4.4,,combined,asc,
supremacy in ratings below 340,,340,USD,4.7,,combined,rating,desc
tiny price tag massive approval under 8,,8,USD,4.0,,combined,asc,
nirvana for quality seekers below 610,,610,USD,4.8,,combined,rating,desc
acclaimed under 96,,96,USD,4.5,,combined,asc,
paradise for great scores below 280,,280,USD,4.7,,combined,rating,desc
inexpensive yet revered under 54,,54,USD,4.3,,combined,asc,
apex of user ratings below 490,,490,USD,4.9,,combined,rating,desc
cost under 20 and highly praised,,20,USD,4.1,,combined,asc,
pinnacle of user scores below 745,,745,USD,4.8,,combined,rating,desc
celebrated under 77,,77,USD,4.4,,combined,asc,
zenith of user praise below 325,,325,USD,4.7,,combined,rating,desc
affordable and applauded under 61,,61,USD,4.3,,combined,asc,
summit of user satisfaction below 565,,565,USD,4.8,,combined,rating,desc
micro budget stellar reception under 4,,4,USD,4.0,,combined,asc,
acme of user satisfaction below 215,,215,USD,4.6,,combined,rating,desc
praised under 85,,85,USD,4.5,,combined,asc,
crest of user approval below 445,,445,USD,4.7,,combined,rating,desc
just browsing around,,,,,,,,
no idea what i want show everything,,,,,,,,
let me scroll through,,,,,,,,
open to anything really,,,,,,,,
exploring the full catalogue,,,,,,,,
hit me with everything,,,,,,,,
no clue just show me options,,,,,,,,
browsing mode,,,,,,,,
throw everything at me,,,,,,,,
what have you got,,,,,,,,
sorted cheapest at top,,,,,,price,asc,
most expensive leads,,,,,,price,desc,
ratings descending please,,,,,,rating,desc,
put the cheapest first,,,,,,price,asc,
highest rated leads,,,,,,rating,desc,
price from low to high,,,,,,price,asc,
price from high to low,,,,,,price,desc,
sort ratings best first,,,,,,rating,desc,
flip it so cheapest is first,,,,,,price,asc,
order by review score high to low,,,,,,rating,desc,
rank by price ascending,,,,,,price,asc,
rank by price descending,,,,,,price,desc,
rank by rating descending,,,,,,rating,desc,
arrange from most affordable,,,,,,price,asc,
arrange from most expensive,,,,,,price,desc,
order best reviewed first,,,,,,rating,desc,
sequence from lowest price,,,,,,price,asc,
sequence from highest price,,,,,,price,desc,
put top rated at front,,,,,,rating,desc,
flip sort to cheapest first,,,,,,price,asc,
office chairs 100 to 500,100.0,500.0,USD,,,none,price,asc
i want skin care products,,,,,,none,none,none
dumbbells below 400,,400.0,USD,,,none,price,asc
smartphones below 500,,500.0,USD,,,none,price,asc
laptops with rating 4 to 4.8,,,,4.0,4.8,rating,rating,desc
serum under 25,,25.0,USD,,,none,price,asc
gaming consoles 200 to 450,200.0,450.0,USD,,,none,price,asc
i want to buy jackets,,,,,,none,none,none
highly rated laptops below 1000,,1000.0,USD,4.5,,combined,price,asc
affordable highly rated headphones,,200.0,USD,4.0,,combined,price,asc
top rated jackets under 100,,100.0,USD,4.0,,combined,price,asc
deodorant below 10,,10.0,USD,,,none,price,asc
tshirts below 25,,25.0,USD,,,none,price,asc
laptop below 1000,,1000.0,USD,,,none,price,asc
jeans below 80,,80.0,USD,,,none,price,asc
best lipstick by reviews,,,,4.0,,rating,rating,desc
shampoo below 20,,20.0,USD,,,none,price,asc
lipstick under 15,,15.0,USD,,,none,price,asc
highly rated smartwatches,,,,4.0,,rating,rating,desc
smartphones above 500,500.0,,USD,,,none,price,asc
personal care items,,,,,,none,none,none
most popular first,,,,,,none,rating,desc
show me phones in budget 200 to 500,200.0,500.0,USD,,,none,price,asc
smartwatches below 300,,300.0,USD,,,none,price,asc
i want headphones,,,,,,none,none,none
top cameras under 800,,800.0,USD,4.5,,combined,price,asc
things rated 4 to 4.5 stars,,,,4.0,4.5,rating,rating,desc
affordable well reviewed shoes under 80,,80.0,USD,4.0,,combined,price,asc
need a smartphone within 250,,250.0,USD,,,none,price,asc
headphones 80 to 200,80.0,200.0,USD,,,none,price,asc
sort by highest rated,,,,,,none,rating,desc
hair oil below 15,,15.0,USD,,,none,price,asc
vacuum cleaner below 400,,400.0,USD,,,none,price,asc
i want a tv that costs less than 600,,600.0,USD,,,none,price,asc
best reviewed fitness equipment,,,,4.0,,rating,rating,desc
affordable laptops under 700,,700.0,USD,,,none,price,asc
minimum budget is 500,500.0,,USD,,,none,price,asc
high quality laptops between 600 and 1500 above 4.5 stars,600.0,1500.0,USD,4.5,,combined,price,asc
kids clothes under 30,,30.0,USD,,,none,price,asc
jackets below 150,,150.0,USD,,,none,price,asc
cameras under 500,,500.0,USD,,,none,price,asc
show the most expensive first,,,,,,none,price,desc
t-shirts under 20,,20.0,USD,,,none,price,asc
bluetooth speaker below 80,,80.0,USD,,,none,price,asc
monitors above 200,200.0,,USD,,,none,price,asc
smartphones 300 to 600,300.0,600.0,USD,,,none,price,asc
personal care under 10,,10.0,USD,,,none,price,asc
show me gaming accessories,,,,,,none,none,none
ipad under 700,,700.0,USD,,,none,price,asc
cheap but good tablets under 400,,400.0,USD,3.5,,combined,price,asc
televisions below 800,,800.0,USD,,,none,price,asc
jeans in the range 40 to 80,40.0,80.0,USD,,,none,price,asc
find me a tv in the 400 to 700 range,400.0,700.0,USD,,,none,price,asc
products starting from 200,200.0,,USD,,,none,price,asc
top reviewed makeup,,,,4.0,,rating,rating,desc
looking for shoes,,,,,,none,none,none
hair care under 20,,20.0,USD,,,none,price,asc
order by best rating,,,,,,none,rating,desc
jeans under 60,,60.0,USD,,,none,price,asc
show me jeans under 70,,70.0,USD,,,none,price,asc
show lowest price first,,,,,,none,price,asc
standing desk below 400,,400.0,USD,,,none,price,asc
best speakers with good reviews,,,,4.0,,rating,rating,desc
highly rated tablets,,,,4.0,,rating,rating,desc
best cameras by star rating,,,,4.5,,rating,rating,desc
keyboard between 50 and 150,50.0,150.0,USD,,,none,price,asc
iphone under 800,,800.0,USD,,,none,price,asc
makeup products from 8 to 25,8.0,25.0,USD,,,none,price,asc
show me everything available,,,,,,none,none,none
best reviewed jeans,,,,4.0,,rating,rating,desc
show me headphones not more than 150,,150.0,USD,,,none,price,asc
skin care rated 4 to 4.5,,,,4.0,4.5,rating,rating,desc
skin care 10 to 30,10.0,30.0,USD,,,none,price,asc
looking for shoes not exceeding 90,,90.0,USD,,,none,price,asc
budget phones up to 300,,300.0,USD,,,none,price,asc
top rated tv below 700,,700.0,USD,4.5,,combined,price,asc
premium skin care above 20,20.0,,USD,,,none,price,asc
good tablets under 500,,500.0,USD,4.0,,combined,price,asc
gaming keyboard under 120 rated 4 plus,,120.0,USD,4.0,,combined,price,asc
show me things people love,,,,4.0,,rating,rating,desc
jackets above 100,100.0,,USD,,,none,price,asc
speakers under 100 with great ratings,,100.0,USD,4.5,,combined,price,asc
makeup under 20,,20.0,USD,,,none,price,asc
dash cam below 100,,100.0,USD,,,none,price,asc
security camera below 200,,200.0,USD,,,none,price,asc
top rated jeans under 70,,70.0,USD,4.0,,combined,price,asc
i only buy things above 300,300.0,,USD,,,none,price,asc
quality skin care under 25 and well rated,,25.0,USD,4.0,,combined,price,asc
i need a laptop,,,,,,none,none,none
monitor under 300,,300.0,USD,,,none,price,asc
jackets between 50 and 150,50.0,150.0,USD,,,none,price,asc
router under 200,,200.0,USD,,,none,price,asc
keyboard under 80,,80.0,USD,,,none,price,asc
phones rated 4 to 5 stars,,,,4.0,5.0,rating,rating,desc
show me televisions,,,,,,none,none,none
cameras please,,,,,,none,none,none
show me t-shirts,,,,,,none,none,none
show me average stuff 2.5 to 3.5,,,,2.5,3.5,rating,rating,asc
best rated face wash,,,,4.0,,rating,rating,desc
show me smartphones,,,,,,none,none,none
show me stuff rated above 4.5,,,,4.5,,rating,rating,desc
top rated office chairs,,,,4.5,,rating,rating,desc
samsung phone below 700,,700.0,USD,,,none,price,asc
fitness equipment above 200,200.0,,USD,,,none,price,asc
dresses below 100,,100.0,USD,,,none,price,asc
just browsing,,,,,,none,none,none
boots below 150,,150.0,USD,,,none,price,asc
jackets under 100,,100.0,USD,,,none,price,asc
monitors between 200 and 500,200.0,500.0,USD,,,none,price,asc
shirts under 50,,50.0,USD,,,none,price,asc
between 3 and 5 star reviews,,,,3.0,5.0,rating,rating,desc
routers,,,,,,none,none,none
speakers from 50 to 200,50.0,200.0,USD,,,none,price,asc
cameras 200 to 800,200.0,800.0,USD,,,none,price,asc
rating between 4.2 and 4.8,,,,4.2,4.8,rating,rating,desc
ethnic wear between 50 and 150,50.0,150.0,USD,,,none,price,asc
cheap smartphones below 200,,200.0,USD,,,none,price,asc
monitors between 200 and 400 top rated,200.0,400.0,USD,4.5,,combined,price,asc
phones under 400,,400.0,USD,,,none,price,asc
luxury dresses above 100,100.0,,USD,,,none,price,desc
foundation below 25,,25.0,USD,,,none,price,asc
t-shirts 15 to 35,15.0,35.0,USD,,,none,price,asc
find me laptops that cost under 700,,700.0,USD,,,none,price,asc
office chair under 500,,500.0,USD,,,none,price,asc
highly rated shampoo,,,,4.3,,rating,rating,desc
highly rated dresses,,,,4.5,,rating,rating,desc
rating range 3 to 4,,,,3.0,4.0,rating,rating,desc
sort from cheapest to most expensive,,,,,,none,price,asc
headphones below 200,,200.0,USD,,,none,price,asc
i want laptops priced 600 to 1200,600.0,1200.0,USD,,,none,price,asc
best reviewed laptops,,,,4.5,,rating,rating,desc
tablets from 300 to 600,300.0,600.0,USD,,,none,price,asc
top rated t-shirts,,,,4.0,,rating,rating,desc
show me makeup,,,,,,none,none,none
best tv above 4 stars,,,,4.0,,rating,rating,desc
best gaming console under 450,,450.0,USD,4.5,,combined,price,asc
gaming mouse below 100,,100.0,USD,,,none,price,asc
sunscreen under 20,,20.0,USD,,,none,price,asc
top shampoo under 20,,20.0,USD,4.0,,combined,price,asc
i want a smartwatch,,,,,,none,none,none
show me all products,,,,,,none,none,none
best value fitness equipment under 400,,400.0,USD,4.0,,combined,price,asc
only show me products with 4+ stars,,,,4.0,,rating,rating,desc
find me tablets,,,,,,none,none,none
expensive options above 1500,1500.0,,USD,,,none,price,desc
i need a monitor,,,,,,none,none,none
ethnic wear,,,,,,none,none,none
i want jeans,,,,,,none,none,none
show me t-shirts under 30,,30.0,USD,,,none,price,asc
anything above 50,50.0,,USD,,,none,price,asc
office chairs above 300,300.0,,USD,,,none,price,asc
best smartphones under 400,,400.0,USD,4.0,,combined,price,asc
i want jackets priced below 150,,150.0,USD,,,none,price,asc
tablet below 500,,500.0,USD,,,none,price,asc
ethnic wear under 100,,100.0,USD,,,none,price,asc
footwear under 100,,100.0,USD,,,none,price,asc
sort by cheapest first,,,,,,none,price,asc
smartphones under 300,,300.0,USD,,,none,price,asc
soap under 5,,5.0,USD,,,none,price,asc
top rated headphones,,,,4.5,,rating,rating,desc
keyboards,,,,,,none,none,none
show me dresses,,,,,,none,none,none
show me dresses under 60,,60.0,USD,,,none,price,asc
rated between 4 and 5,,,,4.0,5.0,rating,rating,desc
top gaming consoles rated above 4,,,,4.0,,rating,rating,desc
top rated security cameras,,,,4.0,,rating,rating,desc
good smartwatches below 300,,300.0,USD,4.0,,combined,price,asc
high end phones above 800,800.0,,USD,,,none,price,desc
hair care products,,,,,,none,none,none
skincare products below 15,,15.0,USD,,,none,price,asc
top 5 star products,,,,4.5,,rating,rating,desc
shoes between 50 and 120,50.0,120.0,USD,,,none,price,asc
i want shirts below 40,,40.0,USD,,,none,price,asc
highly rated monitors,,,,4.5,,rating,rating,desc
jacket,,,,,,none,none,none
show me items over 100,100.0,,USD,,,none,price,asc
dresses from 40 to 100,40.0,100.0,USD,,,none,price,asc
home appliances under 300,,300.0,USD,,,none,price,asc
gaming consoles above 300,300.0,,USD,,,none,price,asc
show me speakers,,,,,,none,none,none
best reviewed home appliances,,,,4.5,,rating,rating,desc
top rated shoes,,,,4.0,,rating,rating,desc
browse all items,,,,,,none,none,none
sort products by price high to low,,,,,,none,price,desc
at least 150 dollars,150.0,,USD,,,none,price,asc
laptops between 500 and 1000,500.0,1000.0,USD,,,none,price,asc
headphones between 4 and 5 stars,,,,4.0,5.0,rating,rating,desc
office chairs,,,,,,none,none,none
fitness equipment 100 to 400,100.0,400.0,USD,,,none,price,asc
find 4 to 5 star rated items,,,,4.0,5.0,rating,rating,desc
laptop under 600,,600.0,USD,,,none,price,asc
smartwatches between 150 and 400,150.0,400.0,USD,,,none,price,asc
kurta sets,,,,,,none,none,none
skin care under 20,,20.0,USD,,,none,price,asc
show me everything sorted by price,,,,,,none,price,asc
moisturizer under 20,,20.0,USD,,,none,price,asc
items rated between 3 and 4 stars,,,,3.0,4.0,rating,rating,desc
macbook under 1500,,1500.0,USD,,,none,price,asc
laptops under 800,,800.0,USD,,,none,price,asc
office chairs above 200 and well reviewed,200.0,,USD,4.5,,combined,price,asc
show me gaming consoles,,,,,,none,none,none
shoes above 50,50.0,,USD,,,none,price,asc
best gaming mouse,,,,4.0,,rating,rating,desc
home appliances,,,,,,none,none,none
show me everything,,,,,,none,none,none
display from highest to lowest price,,,,,,none,price,desc
good face wash under 15 highly rated,,15.0,USD,4.0,,combined,price,asc
premium laptops above 1000,1000.0,,USD,,,none,price,desc
tablets under 400,,400.0,USD,,,none,price,asc
headphones above 100,100.0,,USD,,,none,price,asc
dont show me anything under 80,80.0,,USD,,,none,price,asc
fitness equipment under 400,,400.0,USD,,,none,price,asc
macbook pro under 3000,,3000.0,USD,,,none,price,asc
premium laptops under 2500,,2500.0,USD,,,none,price,asc
laptops between 1000 and 2000,1000.0,2000.0,USD,,,none,price,asc
high end laptops above 1500,1500.0,,USD,,,none,price,desc
best laptops above 2000,2000.0,,USD,4.5,,combined,price,desc
professional cameras under 2000,,2000.0,USD,,,none,price,asc
cameras between 1000 and 2000,1000.0,2000.0,USD,,,none,price,asc
top rated cameras under 1800,,1800.0,USD,4.5,,combined,price,asc
oled tv under 1500,,1500.0,USD,,,none,price,asc
premium tv between 800 and 1500,800.0,1500.0,USD,,,none,price,asc
peloton bike under 2000,,2000.0,USD,,,none,price,asc
fitness equipment under 2000,,2000.0,USD,,,none,price,asc
herman miller chair under 1200,,1200.0,USD,,,none,price,asc
